commodity,unit,baseline_price_usd,annual_market_value_usd,annual_downstream_value_at_risk_usd,short_run_adjustment_elasticity,demand_price_elasticity,demand_adjustment_days,demand_recovery_half_life_days,max_demand_reduction_share,market_tightness,price_shock_cap_pct,exposed_spend_share,commercial_inventory_days,strategic_reserve_days,inventory_rebuild_days,lag_onset_days,lag_adjustment_days,recovery_half_life_days,downstream_input_cost_share,availability_multiplier,seasonal_lag_days,seasonal_transmission_multiplier,substitution_rate_per_day,max_substitution_share,parameter_status
Crude oil,barrel,82,3000000000000,35000000000000,0.18,0.030,14,60,0.15,1.00,1.50,0.60,35,10,180,5,12,45,0.10,1.20,0,0.00,0.0015,0.20,calibrated_assumption
LNG,MMBtu,12,250000000000,8000000000000,0.12,0.040,21,90,0.20,1.10,2.00,0.65,22,0,120,7,15,60,0.12,1.50,0,0.00,0.0020,0.30,calibrated_assumption
Fertilizer,metric_ton,500,100000000000,2500000000000,0.20,0.020,60,180,0.15,1.20,2.50,0.70,45,0,180,21,30,120,0.08,1.80,150,0.35,0.0010,0.20,calibrated_assumption
Helium,thousand_cubic_feet,500,8000000000,600000000000,0.08,0.005,90,240,0.05,1.30,3.00,0.75,60,0,240,14,35,150,0.002,3.50,0,0.00,0.0005,0.10,analyst_assumption
